slug,kind,title_en,title_hi,match,fixed_date
new-year,closed,New Year's Day,नव वर्ष,New Year's Day,01-01
national-youth-day,observe,National Youth Day,राष्ट्रीय युवा दिवस,National Youth Day,01-12
makar-sankranti,closed,Makar Sankranti,मकर संक्रांति,Makar Sankranti,01-14
republic-day,observe,Republic Day,गणतंत्र दिवस,Republic Day,01-26
martyrs-day,observe,Martyrs' Day,शहीद दिवस,Martyrs Day,01-30
maha-shivaratri,closed,Maha Shivaratri,महा शिवरात्रि,Shivaratri,
saraswati-puja,closed,Saraswati Puja,सरस्वती पूजा,Saraswati,
holi,closed,Holi,होली,Holi,
ram-navami,closed,Ram Navami,राम नवमी,Ram Navami,
eid-ul-fitr,closed,Eid-ul-Fitr,ईद उल-फ़ित्र,Fitr,
good-friday,closed,Good Friday,गुड फ्राइडे,Good Friday,
bihar-diwas,observe,Bihar Diwas,बिहार दिवस,Bihar Diwas,03-22
mahavir-jayanti,closed,Mahavir Jayanti,महावीर जयंती,Mahavir,
ambedkar-jayanti,closed,Ambedkar Jayanti,आंबेडकर जयंती,Ambedkar,04-14
hanuman-jayanti,closed,Hanuman Jayanti,हनुमान जयंती,Hanuman Jayanti,
labour-day,closed,Labour Day,मजदूर दिवस,Labour Day,05-01
buddha-purnima,closed,Buddha Purnima,बुद्ध पूर्णिमा,Buddha,
eid-ul-adha,closed,Eid-ul-Adha,ईद उल-अज़हा,Adha,
guru-purnima,observe,Guru Purnima,गुरु पूर्णिमा,Guru Purnima,
muharram,closed,Muharram,मुहर्रम,Muharram,
jitiya,closed,Jitiya,जितिया,Jitiya,
independence-day,observe,Independence Day,स्वतंत्रता दिवस,Independence Day,08-15
raksha-bandhan,closed,Raksha Bandhan,रक्षा बंधन,Raksha Bandhan,
janmashtami,closed,Janmashtami,जन्माष्टमी,Janmashtami,
milad-un-nabi,closed,Milad-un-Nabi,मीलाद उन-नबी,Milad,
teachers-day,observe,Teachers' Day,शिक्षक दिवस,Teachers' Day,09-05
vishwakarma-puja,closed,Vishwakarma Puja,विश्वकर्मा पूजा,Vishwakarma,09-17
hindi-diwas,observe,Hindi Diwas,हिन्दी दिवस,Hindi Diwas,09-14
gandhi-jayanti,closed,Gandhi Jayanti,गाँधी जयंती,Gandhi Jayanti,10-02
durga-puja,closed,Durga Puja,दुर्गा पूजा,Durga,
dussehra,closed,Dussehra,दशहरा,Dussehra,
valmiki-jayanti,closed,Valmiki Jayanti,वाल्मीकि जयंती,Valmiki,
diwali,closed,Diwali,दीपावली,Diwali,
govardhan-puja,closed,Govardhan Puja,गोवर्धन पूजा,Govardhan,
bhai-dooj,closed,Bhai Dooj,भाई दूज,Bhai,
chhath,closed,Chhath,छठ,Chhath,
childrens-day,observe,Children's Day,बाल दिवस,Children's Day,11-14
guru-nanak-jayanti,closed,Guru Nanak Jayanti,गुरु नानक जयंती,Guru Nanak,
christmas,closed,Christmas,क्रिसमस,Christmas,12-25
